customer_id,company_name,plan,mrr,start_date,status,tenure_months,seats,industry,avg_dau,login_days_30,features_used,support_tickets,tenure_score,usage_score,feature_score,support_score,health_score,health_status,churn_probability
cust_1860,Company_1860,starter,299,2023-01-21,active,1,2,Healthcare,7.6,0,1,5,2.083333333333333,0.0,5.0,0.0,7.1,Critical,0.929
cust_419,Company_419,growth,799,2023-03-24,active,2,2,Healthcare,3.6,0,1,5,4.166666666666666,0.0,5.0,0.0,9.2,Critical,0.9079999999999999
cust_2291,Company_2291,starter,299,2023-08-23,active,2,3,Other,6.2,1,1,4,4.166666666666666,1.5,5.0,0.0,10.7,Critical,0.893
cust_2285,Company_2285,enterprise,4999,2023-06-05,active,3,37,Other,4.3,0,1,4,6.25,0.0,5.0,0.0,11.3,Critical,0.887
cust_1566,Company_1566,starter,299,2023-07-11,active,3,2,SaaS,8.7,0,1,5,6.25,0.0,5.0,0.0,11.3,Critical,0.887
cust_1467,Company_1467,pro,1999,2023-04-24,active,1,3,Other,6.2,4,1,4,2.083333333333333,6.0,5.0,0.0,13.1,Critical,0.8690000000000001
cust_1538,Company_1538,enterprise,4999,2023-07-09,active,2,7,Ecommerce,0.6,0,1,3,4.166666666666666,0.0,5.0,5.0,14.2,Critical,0.858
cust_2626,Company_2626,starter,299,2023-03-26,active,2,2,SaaS,1.9,4,1,4,4.166666666666666,6.0,5.0,0.0,15.2,Critical,0.848
cust_2625,Company_2625,growth,799,2023-05-17,active,1,5,SaaS,0.6,6,1,4,2.083333333333333,9.0,5.0,0.0,16.1,Critical,0.8390000000000001
cust_2076,Company_2076,starter,299,2023-08-26,active,4,1,Finance,2.3,2,1,5,8.333333333333332,3.0,5.0,0.0,16.3,Critical,0.8370000000000001
cust_1484,Company_1484,growth,799,2023-09-25,active,2,4,SaaS,2.6,5,1,5,4.166666666666666,7.5,5.0,0.0,16.7,Critical,0.833
cust_2237,Company_2237,starter,299,2023-10-21,active,3,1,Ecommerce,1.3,1,2,4,6.25,1.5,10.0,0.0,17.8,Critical,0.8220000000000001
cust_1440,Company_1440,enterprise,4999,2023-10-23,active,5,10,Ecommerce,3.4,3,1,4,10.416666666666668,4.5,5.0,0.0,19.9,Critical,0.8009999999999999
cust_2984,Company_2984,enterprise,4999,2023-04-20,active,6,28,Ecommerce,7.0,2,1,5,12.5,3.0,5.0,0.0,20.5,Critical,0.795
cust_2788,Company_2788,pro,1999,2023-05-25,active,2,5,Finance,1.3,1,2,3,4.166666666666666,1.5,10.0,5.0,20.7,Critical,0.7929999999999999
cust_908,Company_908,starter,299,2023-08-15,active,2,4,SaaS,1.5,1,1,2,4.166666666666666,1.5,5.0,10.0,20.7,Critical,0.7929999999999999
cust_2000,Company_2000,growth,799,2023-08-06,active,1,1,SaaS,3.3,6,2,4,2.083333333333333,9.0,10.0,0.0,21.1,Critical,0.789
cust_2135,Company_2135,starter,299,2023-10-18,active,3,2,SaaS,4.5,0,1,2,6.25,0.0,5.0,10.0,21.3,Critical,0.787
cust_2255,Company_2255,growth,799,2023-01-21,active,2,5,Ecommerce,7.2,5,2,5,4.166666666666666,7.5,10.0,0.0,21.7,Critical,0.7829999999999999
