customer_id,plan,mrr,industry,tenure_score,usage_score,feature_score,support_score,health_score,health_status
cust_1860,starter,299,Healthcare,2.083333333333333,0.0,5.0,0,7.1,Critical
cust_419,growth,799,Healthcare,4.166666666666666,0.0,5.0,0,9.2,Critical
cust_2291,starter,299,Other,4.166666666666666,1.5,5.0,0,10.7,Critical
cust_2285,enterprise,4999,Other,6.25,0.0,5.0,0,11.3,Critical
cust_1566,starter,299,SaaS,6.25,0.0,5.0,0,11.3,Critical
cust_1467,pro,1999,Other,2.083333333333333,6.0,5.0,0,13.1,Critical
cust_1538,enterprise,4999,Ecommerce,4.166666666666666,0.0,5.0,5,14.2,Critical
cust_2626,starter,299,SaaS,4.166666666666666,6.0,5.0,0,15.2,Critical
cust_2625,growth,799,SaaS,2.083333333333333,9.0,5.0,0,16.1,Critical
cust_2076,starter,299,Finance,8.333333333333332,3.0,5.0,0,16.3,Critical
cust_1484,growth,799,SaaS,4.166666666666666,7.5,5.0,0,16.7,Critical
cust_2237,starter,299,Ecommerce,6.25,1.5,10.0,0,17.8,Critical
cust_1440,enterprise,4999,Ecommerce,10.416666666666668,4.5,5.0,0,19.9,Critical
cust_2984,enterprise,4999,Ecommerce,12.5,3.0,5.0,0,20.5,Critical
cust_908,starter,299,SaaS,4.166666666666666,1.5,5.0,10,20.7,Critical
cust_2788,pro,1999,Finance,4.166666666666666,1.5,10.0,5,20.7,Critical
cust_2000,growth,799,SaaS,2.083333333333333,9.0,10.0,0,21.1,Critical
cust_2135,starter,299,SaaS,6.25,0.0,5.0,10,21.3,Critical
cust_2255,growth,799,Ecommerce,4.166666666666666,7.5,10.0,0,21.7,Critical
cust_2768,pro,1999,Ecommerce,6.25,10.5,5.0,0,21.8,Critical
cust_820,enterprise,4999,Finance,10.416666666666668,1.5,10.0,0,21.9,Critical
cust_1700,enterprise,4999,Other,2.083333333333333,0.0,20.0,0,22.1,Critical
cust_1951,starter,299,Other,2.083333333333333,15.0,5.0,0,22.1,Critical
cust_2116,starter,299,SaaS,6.25,6.0,5.0,5,22.3,Critical
cust_1052,starter,299,SaaS,2.083333333333333,1.5,15.0,5,23.6,Critical
cust_2290,growth,799,SaaS,2.083333333333333,1.5,15.0,5,23.6,Critical
cust_1454,pro,1999,Other,4.166666666666666,4.5,5.0,10,23.7,Critical
cust_1813,starter,299,Finance,4.166666666666666,4.5,5.0,10,23.7,Critical
cust_2355,pro,1999,Healthcare,10.416666666666668,9.0,5.0,0,24.4,Critical
cust_726,starter,299,Ecommerce,10.416666666666668,4.5,5.0,5,24.9,Critical
cust_2062,growth,799,Ecommerce,2.083333333333333,3.0,15.0,5,25.1,Critical
cust_2167,starter,299,Ecommerce,10.416666666666668,0.0,15.0,0,25.4,Critical
cust_1134,enterprise,4999,SaaS,2.083333333333333,13.5,10.0,0,25.6,Critical
cust_1297,pro,1999,Other,14.583333333333334,6.0,5.0,0,25.6,Critical
cust_2466,growth,799,Ecommerce,4.166666666666666,16.5,5.0,0,25.7,Critical
cust_956,pro,1999,Other,8.333333333333332,7.5,10.0,0,25.8,Critical
cust_2812,starter,299,Ecommerce,2.083333333333333,4.5,10.0,10,26.6,Critical
cust_1477,growth,799,Finance,12.5,4.5,10.0,0,27.0,Critical
cust_2471,pro,1999,Healthcare,14.583333333333334,7.5,5.0,0,27.1,Critical
cust_2623,pro,1999,Other,2.083333333333333,15.0,5.0,5,27.1,Critical
cust_2411,starter,299,Other,2.083333333333333,0.0,25.0,0,27.1,Critical
cust_2803,starter,299,Finance,12.5,0.0,15.0,0,27.5,Critical
cust_895,pro,1999,Ecommerce,2.083333333333333,10.5,5.0,10,27.6,Critical
cust_1008,starter,299,Ecommerce,16.666666666666664,6.0,5.0,0,27.7,Critical
cust_135,growth,799,SaaS,10.416666666666668,3.0,10.0,5,28.4,Critical
cust_2029,growth,799,Other,12.5,6.0,10.0,0,28.5,Critical
cust_380,enterprise,4999,Ecommerce,12.5,6.0,5.0,5,28.5,Critical
cust_2982,enterprise,4999,Other,4.166666666666666,4.5,10.0,10,28.7,Critical
cust_829,growth,799,SaaS,18.75,0.0,10.0,0,28.8,Critical
cust_1108,starter,299,SaaS,20.833333333333336,3.0,5.0,0,28.8,Critical
cust_1172,starter,299,Healthcare,6.25,7.5,15.0,0,28.8,Critical
cust_2280,pro,1999,Finance,16.666666666666664,7.5,5.0,0,29.2,Critical
cust_855,pro,1999,Ecommerce,6.25,18.0,5.0,0,29.3,Critical
cust_452,enterprise,4999,Finance,8.333333333333332,6.0,15.0,0,29.3,Critical
cust_1385,starter,299,SaaS,10.416666666666668,9.0,10.0,0,29.4,Critical
cust_2110,pro,1999,SaaS,22.916666666666664,1.5,5.0,0,29.4,Critical
cust_1300,pro,1999,Ecommerce,22.916666666666664,1.5,5.0,0,29.4,Critical
cust_1288,starter,299,Healthcare,10.416666666666668,9.0,10.0,0,29.4,Critical
cust_430,pro,1999,Finance,12.5,12.0,5.0,0,29.5,Critical
cust_2955,starter,299,Healthcare,2.083333333333333,22.5,5.0,0,29.6,Critical
cust_2609,starter,299,Healthcare,2.083333333333333,7.5,5.0,15,29.6,Critical
cust_1535,growth,799,Finance,4.166666666666666,10.5,15.0,0,29.7,Critical
cust_518,pro,1999,Healthcare,25.0,0.0,5.0,0,30.0,Critical
cust_1957,starter,299,Healthcare,12.5,7.5,5.0,5,30.0,Critical
cust_2171,starter,299,SaaS,4.166666666666666,21.0,5.0,0,30.2,Critical
cust_2938,growth,799,Healthcare,10.416666666666668,0.0,20.0,0,30.4,Critical
cust_237,pro,1999,Healthcare,4.166666666666666,1.5,25.0,0,30.7,Critical
cust_1053,growth,799,Healthcare,4.166666666666666,12.0,10.0,5,31.2,Critical
cust_2946,enterprise,4999,Other,16.666666666666664,4.5,5.0,5,31.2,Critical
cust_1041,starter,299,Healthcare,6.25,0.0,25.0,0,31.3,Critical
cust_2809,starter,299,SaaS,6.25,0.0,25.0,0,31.3,Critical
cust_2382,starter,299,Other,8.333333333333332,3.0,15.0,5,31.3,Critical
cust_2402,pro,1999,SaaS,10.416666666666668,6.0,15.0,0,31.4,Critical
cust_2384,growth,799,Healthcare,25.0,1.5,5.0,0,31.5,Critical
cust_2690,growth,799,Ecommerce,2.083333333333333,4.5,25.0,0,31.6,Critical
cust_2256,starter,299,SaaS,8.333333333333332,13.5,10.0,0,31.8,Critical
cust_2494,starter,299,Ecommerce,20.833333333333336,6.0,5.0,0,31.8,Critical
cust_2636,growth,799,SaaS,6.25,10.5,10.0,5,31.8,Critical
cust_2674,pro,1999,SaaS,10.416666666666668,1.5,15.0,5,31.9,Critical
cust_944,starter,299,Healthcare,12.5,4.5,15.0,0,32.0,Critical
cust_470,starter,299,Healthcare,4.166666666666666,3.0,25.0,0,32.2,Critical
cust_889,pro,1999,Other,4.166666666666666,3.0,25.0,0,32.2,Critical
cust_1730,enterprise,4999,Ecommerce,6.25,6.0,20.0,0,32.3,Critical
cust_2519,starter,299,Ecommerce,20.833333333333336,1.5,10.0,0,32.3,Critical
cust_206,pro,1999,Other,2.083333333333333,10.5,20.0,0,32.6,Critical
cust_1711,pro,1999,Ecommerce,16.666666666666664,6.0,10.0,0,32.7,Critical
cust_57,starter,299,Other,6.25,1.5,20.0,5,32.8,Critical
cust_682,growth,799,Ecommerce,6.25,1.5,25.0,0,32.8,Critical
cust_2397,starter,299,Healthcare,8.333333333333332,4.5,10.0,10,32.8,Critical
cust_2093,growth,799,SaaS,22.916666666666664,0.0,10.0,0,32.9,Critical
cust_502,pro,1999,Finance,25.0,3.0,5.0,0,33.0,Critical
cust_2657,growth,799,Ecommerce,25.0,3.0,5.0,0,33.0,Critical
cust_1010,pro,1999,Ecommerce,4.166666666666666,9.0,20.0,0,33.2,Critical
cust_962,starter,299,Finance,8.333333333333332,0.0,25.0,0,33.3,Critical
cust_608,growth,799,Ecommerce,12.5,6.0,15.0,0,33.5,Critical
cust_2449,pro,1999,SaaS,2.083333333333333,16.5,10.0,5,33.6,Critical
cust_1074,starter,299,Finance,16.666666666666664,12.0,5.0,0,33.7,Critical
cust_1080,starter,299,Ecommerce,6.25,7.5,20.0,0,33.8,Critical
cust_1717,growth,799,SaaS,6.25,7.5,5.0,15,33.8,Critical
cust_1905,pro,1999,Healthcare,6.25,7.5,5.0,15,33.8,Critical
cust_960,enterprise,4999,Ecommerce,14.583333333333334,4.5,15.0,0,34.1,Critical
cust_1412,growth,799,Other,14.583333333333334,4.5,5.0,10,34.1,Critical
cust_1461,starter,299,Ecommerce,4.166666666666666,0.0,25.0,5,34.2,Critical
cust_2194,starter,299,SaaS,4.166666666666666,0.0,25.0,5,34.2,Critical
cust_657,growth,799,Finance,6.25,3.0,10.0,15,34.3,Critical
cust_718,pro,1999,Finance,6.25,3.0,10.0,15,34.3,Critical
cust_327,growth,799,SaaS,10.416666666666668,9.0,15.0,0,34.4,Critical
cust_1427,starter,299,Other,25.0,4.5,5.0,0,34.5,Critical
