month,total_mrr,total_customers,net_new_mrr,mrr_growth_pct,churn_rate_pct,premium_mix_pct
2023-01,306642.0,258,,,,68.5
2023-02,283945.0,255,-22697.0,-7.4,4.39,67.9
2023-03,326746.0,254,42801.0,15.1,6.05,71.9
2023-04,279895.0,205,-46851.0,-14.3,3.3,74.3
2023-05,336430.0,270,56535.0,20.2,9.6,71.3
2023-06,273988.0,212,-62442.0,-18.6,3.41,72.2
2023-07,348220.0,280,74232.0,27.1,6.67,70.3
2023-08,334445.0,255,-13775.0,-4.0,6.46,74.4
2023-09,291768.0,232,-42677.0,-12.8,5.76,72.0
2023-10,346229.0,271,54461.0,18.7,5.13,72.2
2023-11,317250.0,250,-28979.0,-8.4,3.23,69.3
2023-12,333948.0,252,16698.0,5.3,10.64,73.9
2024-01,6894.0,6,-327054.0,-97.9,0.0,87.0
