customer_id,company_name,plan,mrr,start_date,status,tenure_months,seats,industry,avg_dau,login_days_30,features_used,support_tickets
cust_1,Company_1,growth,799,2023-01-13,active,24,2,Ecommerce,7.5,21,2,4
cust_2,Company_2,growth,799,2023-01-16,active,3,5,Other,0.8,6,7,1
cust_3,Company_3,growth,799,2023-05-23,active,1,2,Healthcare,3.7,4,4,2
cust_4,Company_4,starter,299,2023-07-14,active,4,3,Other,3.0,1,8,4
cust_5,Company_5,starter,299,2023-07-13,active,3,5,Finance,6.0,22,2,0
cust_6,Company_6,growth,799,2023-05-29,active,3,1,Healthcare,3.1,20,6,1
cust_7,Company_7,starter,299,2023-04-18,active,22,1,Other,6.5,17,4,1
cust_8,Company_8,growth,799,2023-05-19,active,21,2,Finance,8.5,24,1,1
cust_9,Company_9,pro,1999,2023-06-11,active,13,2,Other,8.8,10,4,5
cust_10,Company_10,growth,799,2023-11-26,active,15,2,Ecommerce,7.6,17,5,5
cust_11,Company_11,growth,799,2023-10-26,active,13,2,Other,5.2,24,1,0
cust_12,Company_12,starter,299,2023-03-23,active,22,1,Healthcare,4.1,14,5,4
cust_13,Company_13,pro,1999,2023-01-06,active,22,5,Finance,7.8,10,2,2
cust_14,Company_14,growth,799,2023-08-21,active,1,3,Other,7.7,16,2,5
cust_15,Company_15,starter,299,2023-11-24,active,17,2,Finance,7.7,17,1,4
cust_16,Company_16,starter,299,2023-01-10,active,4,3,Ecommerce,1.1,28,2,0
cust_17,Company_17,pro,1999,2023-02-05,active,18,2,Healthcare,9.5,5,5,4
cust_18,Company_18,pro,1999,2023-08-05,active,7,2,Finance,4.3,21,6,3
cust_19,Company_19,pro,1999,2023-08-20,active,4,1,Finance,0.7,17,4,4
cust_20,Company_20,starter,299,2023-02-06,active,23,2,SaaS,9.1,27,6,0
cust_21,Company_21,growth,799,2023-05-23,active,22,5,Ecommerce,7.4,28,8,1
cust_22,Company_22,pro,1999,2023-07-28,active,7,4,Finance,4.5,14,1,5
cust_23,Company_23,growth,799,2023-11-27,churned,4,3,SaaS,2.9,6,8,1
cust_24,Company_24,growth,799,2023-05-23,active,15,1,Healthcare,8.2,27,2,0
cust_25,Company_25,growth,799,2023-10-04,active,1,2,Ecommerce,4.4,15,4,3
cust_26,Company_26,enterprise,4999,2023-03-26,churned,13,25,Finance,9.3,25,8,2
cust_27,Company_27,growth,799,2023-10-12,active,22,2,Ecommerce,3.3,30,1,4
cust_28,Company_28,pro,1999,2023-02-01,active,24,1,Other,5.0,29,3,0
cust_29,Company_29,enterprise,4999,2023-02-11,active,6,5,Ecommerce,4.3,30,4,4
cust_30,Company_30,growth,799,2023-11-14,active,3,5,Other,5.5,29,5,1
cust_31,Company_31,growth,799,2023-06-10,active,8,2,Finance,4.8,29,2,0
cust_32,Company_32,growth,799,2023-10-16,churned,4,2,Other,3.0,29,6,0
cust_33,Company_33,pro,1999,2023-07-09,active,10,5,Finance,6.3,25,1,5
cust_34,Company_34,pro,1999,2023-06-03,active,22,2,Finance,1.6,3,3,2
cust_35,Company_35,starter,299,2023-04-18,active,23,3,Other,5.1,28,1,0
cust_36,Company_36,growth,799,2023-05-22,churned,2,2,Finance,2.0,14,7,4
cust_37,Company_37,starter,299,2023-02-08,active,23,5,SaaS,8.4,18,3,3
cust_38,Company_38,starter,299,2023-06-07,active,12,1,Finance,2.5,7,2,2
cust_39,Company_39,pro,1999,2023-07-28,active,20,2,Ecommerce,9.8,25,3,3
cust_40,Company_40,starter,299,2023-06-20,active,14,2,Finance,2.0,22,2,3
cust_41,Company_41,pro,1999,2023-08-29,active,8,4,Finance,3.4,25,4,1
cust_42,Company_42,starter,299,2023-04-09,active,13,1,Finance,3.8,16,7,5
cust_43,Company_43,enterprise,4999,2023-10-02,active,11,8,Finance,2.2,30,5,0
cust_44,Company_44,starter,299,2023-08-11,active,12,3,Healthcare,6.3,16,2,3
cust_45,Company_45,pro,1999,2023-04-08,churned,9,4,SaaS,5.4,25,4,2
cust_46,Company_46,growth,799,2023-12-07,active,11,1,Finance,5.3,21,7,2
cust_47,Company_47,growth,799,2023-06-01,active,18,4,Healthcare,6.9,28,3,4
cust_48,Company_48,growth,799,2023-07-27,active,18,3,Finance,2.5,25,6,3
cust_49,Company_49,growth,799,2023-12-12,active,7,2,SaaS,3.2,21,6,0
cust_50,Company_50,pro,1999,2023-05-01,active,22,2,Ecommerce,0.7,7,8,4
cust_51,Company_51,pro,1999,2023-02-07,active,15,5,Ecommerce,7.3,12,8,3
cust_52,Company_52,starter,299,2023-12-02,churned,23,1,Healthcare,2.6,25,8,0
cust_53,Company_53,growth,799,2023-03-04,active,15,4,Other,9.9,19,6,3
cust_54,Company_54,growth,799,2023-09-16,active,14,5,Healthcare,9.0,23,8,3
cust_55,Company_55,starter,299,2023-05-07,active,21,5,Healthcare,6.5,8,8,0
cust_56,Company_56,pro,1999,2023-05-01,active,9,5,SaaS,1.8,7,7,5
cust_57,Company_57,starter,299,2023-04-20,active,3,3,Other,4.9,1,4,3
cust_58,Company_58,starter,299,2023-10-27,churned,23,5,Healthcare,5.0,30,6,2
cust_59,Company_59,pro,1999,2023-08-03,active,18,5,Other,9.0,15,4,2
cust_60,Company_60,growth,799,2023-01-15,active,13,4,Ecommerce,8.5,29,3,4
cust_61,Company_61,growth,799,2023-07-21,active,19,1,SaaS,6.6,4,8,1
cust_62,Company_62,starter,299,2023-07-14,active,11,3,Finance,7.7,12,5,3
cust_63,Company_63,starter,299,2023-02-11,churned,16,5,SaaS,10.0,11,4,5
cust_64,Company_64,starter,299,2023-11-30,active,2,2,Ecommerce,8.5,19,3,1
cust_65,Company_65,starter,299,2023-12-09,active,4,2,Healthcare,7.1,24,6,1
cust_66,Company_66,growth,799,2023-02-28,active,6,1,Other,0.7,9,7,3
cust_67,Company_67,enterprise,4999,2023-04-12,active,3,41,Ecommerce,1.5,24,5,5
cust_68,Company_68,growth,799,2023-03-03,active,19,3,Other,4.6,11,2,4
cust_69,Company_69,growth,799,2023-01-07,active,14,1,Healthcare,9.6,20,8,5
cust_70,Company_70,starter,299,2023-04-01,active,24,3,Other,8.2,17,8,3
cust_71,Company_71,growth,799,2023-10-31,active,9,2,SaaS,3.1,14,4,3
cust_72,Company_72,growth,799,2023-12-09,active,13,4,Finance,2.2,6,6,2
cust_73,Company_73,starter,299,2023-11-02,active,23,5,SaaS,5.4,6,2,1
cust_74,Company_74,pro,1999,2023-09-08,active,18,4,Healthcare,4.8,0,2,2
cust_75,Company_75,starter,299,2023-12-21,active,8,5,Finance,5.0,16,6,3
cust_76,Company_76,enterprise,4999,2023-10-09,active,11,30,Finance,3.4,7,2,5
cust_77,Company_77,starter,299,2023-03-03,active,24,2,Ecommerce,2.6,15,5,5
cust_78,Company_78,growth,799,2023-09-26,active,20,1,Ecommerce,3.3,11,3,2
cust_79,Company_79,starter,299,2023-10-01,active,5,1,Other,3.3,30,3,5
cust_80,Company_80,pro,1999,2023-09-09,active,4,5,Finance,5.0,14,6,1
cust_81,Company_81,enterprise,4999,2023-05-10,active,16,5,Healthcare,5.2,18,1,1
cust_82,Company_82,starter,299,2023-10-16,churned,10,2,SaaS,5.8,13,4,4
cust_83,Company_83,starter,299,2023-08-15,active,10,4,Finance,5.9,1,2,1
cust_84,Company_84,growth,799,2023-05-16,active,22,2,Ecommerce,5.7,5,1,3
cust_85,Company_85,growth,799,2023-11-01,active,16,2,Finance,7.2,22,8,0
cust_86,Company_86,growth,799,2023-05-16,active,21,2,Healthcare,1.6,7,3,2
cust_87,Company_87,pro,1999,2023-02-06,active,2,3,Other,7.6,18,5,3
cust_88,Company_88,starter,299,2023-12-19,active,10,3,Other,5.6,14,2,4
cust_89,Company_89,starter,299,2023-08-10,active,24,3,SaaS,1.4,30,1,5
cust_90,Company_90,pro,1999,2023-10-23,active,2,2,Healthcare,5.4,14,5,1
cust_91,Company_91,enterprise,4999,2023-08-12,active,21,6,Healthcare,3.8,10,6,5
cust_92,Company_92,starter,299,2023-03-24,active,11,4,Finance,6.8,12,1,3
cust_93,Company_93,starter,299,2023-05-10,churned,11,4,Other,8.3,0,8,3
cust_94,Company_94,starter,299,2023-09-23,active,12,4,Healthcare,7.7,6,5,4
cust_95,Company_95,starter,299,2023-05-28,active,15,4,SaaS,0.8,20,4,5
cust_96,Company_96,starter,299,2023-10-10,active,1,1,Ecommerce,9.9,29,2,3
cust_97,Company_97,enterprise,4999,2023-11-28,active,5,46,Finance,5.3,8,7,3
cust_98,Company_98,enterprise,4999,2023-05-05,active,15,25,Ecommerce,9.3,16,3,0
cust_99,Company_99,starter,299,2023-08-01,active,11,5,Finance,8.3,9,5,4
cust_100,Company_100,growth,799,2023-12-04,active,16,4,Other,5.1,10,7,3
cust_101,Company_101,enterprise,4999,2023-04-07,active,23,25,Ecommerce,8.6,13,1,2
cust_102,Company_102,pro,1999,2023-12-28,active,13,2,Healthcare,9.7,4,6,0
cust_103,Company_103,pro,1999,2023-08-14,active,4,4,SaaS,7.4,13,3,0
cust_104,Company_104,growth,799,2023-05-16,active,11,4,SaaS,8.6,27,7,2
