customer_id,company_name,plan,mrr,start_date,status,tenure_months,seats,industry,avg_dau,login_days_30,features_used,support_tickets,plan_encoded,churned,churn_probability,health_score,health_status
cust_1,Company_1,growth,799,2023-01-13,active,24,2,Ecommerce,7.5,21,2,4,1,0,0.0514103734658955,65.0,At Risk
cust_2,Company_2,growth,799,2023-01-16,active,3,5,Other,0.8,6,7,1,1,0,0.1713181443003927,55.3,At Risk
cust_3,Company_3,growth,799,2023-05-23,active,1,2,Healthcare,3.7,4,4,2,1,0,0.0971991447089056,38.1,Critical
cust_4,Company_4,starter,299,2023-07-14,active,4,3,Other,3.0,1,8,4,0,0,0.1334733673992028,34.8,Critical
cust_5,Company_5,starter,299,2023-07-13,active,3,5,Finance,6.0,22,2,0,0,0,0.1578510698851583,66.3,At Risk
cust_6,Company_6,growth,799,2023-05-29,active,3,1,Healthcare,3.1,20,6,1,1,0,0.0992147406032839,76.3,Healthy
cust_7,Company_7,starter,299,2023-04-18,active,22,1,Other,6.5,17,4,1,0,0,0.1229042702620786,85.5,Healthy
cust_8,Company_8,growth,799,2023-05-19,active,21,2,Finance,8.5,24,1,1,1,0,0.0702823804370446,75.0,Healthy
cust_9,Company_9,pro,1999,2023-06-11,active,13,2,Other,8.8,10,4,5,2,0,0.0543844954815785,60.0,At Risk
cust_10,Company_10,growth,799,2023-11-26,active,15,2,Ecommerce,7.6,17,5,5,1,0,0.0535086784634299,75.5,Healthy
cust_11,Company_11,growth,799,2023-10-26,active,13,2,Other,5.2,24,1,0,1,0,0.0718753510346617,80.0,Healthy
cust_12,Company_12,starter,299,2023-03-23,active,22,1,Healthcare,4.1,14,5,4,0,0,0.1249191495753131,71.0,At Risk
cust_13,Company_13,pro,1999,2023-01-06,active,22,5,Finance,7.8,10,2,2,2,0,0.0438307977490841,60.0,At Risk
cust_14,Company_14,growth,799,2023-08-21,active,1,3,Other,7.7,16,2,5,1,0,0.0816365418313458,36.1,Critical
cust_15,Company_15,starter,299,2023-11-24,active,17,2,Finance,7.7,17,1,4,0,0,0.1126480685811456,55.5,At Risk
cust_16,Company_16,starter,299,2023-01-10,active,4,3,Ecommerce,1.1,28,2,0,0,0,0.2187757350302709,68.3,At Risk
